序号,完整音频,单句音频,句子文本,开始时间,结束时间
15,18sn1-9.mp3,../18sn/1-170.mp3,一个电闪雷鸣的雨夜，苦比的他在电脑前更新小说，待把一章码完，要上传的时候才发现电脑掉线断网了。,148.52,159.86
16,18sn1-9.mp3,../18sn/1-180.mp3,他自作聪明地以为是路由器的原因，打算重启一下，就在他的手刚接触到路由器开关的时候，窗外亮起了一片如同白昼一样的白光。,160.97,173.6
17,18sn1-9.mp3,../18sn/1-190.mp3,那是怎样的一道闪电呀。,174.4,176.74
18,18sn1-9.mp3,../18sn/1-200.mp3,外面如墨的夜晚被照耀的像正晌午时的白天，他甚至看清了百米外一只在雨中狂奔的野猫。,177.3,185.97
19,18sn1-9.mp3,../18sn/1-210.mp3,这只猫那仿佛猎豹一样的样子永远的定格在他的脑海里，下一秒他感觉屋里的灯开始胡乱的闪烁，同时手指一阵发麻，再下一秒他就……,186.42,199.53
20,18sn1-9.mp3,../18sn/1-220.mp3,醒来的时候也就是现在了，他出现在一列要经过北代河的火车上。,200.7,207.98
21,18sn1-9.mp3,../18sn/1-230.mp3,万帆头痛欲裂，疑似白日见鬼。,209.06,212.03
22,18sn1-9.mp3,../18sn/1-240.mp3,可以确定最大的可能是他就像自己写的小说里的主角一样重生了。,212.87,219.82
23,18sn1-9.mp3,../18sn/1-250.mp3,万帆低头看看自己的身上。,220.78,223.21
24,18sn1-9.mp3,../18sn/1-260.mp3,灰绿色的半截袖的T恤，搭配一条灰色的裤子，脚上是一双浅灰色的皮凉鞋。,223.66,230.32
25,18sn1-9.mp3,../18sn/1-270.mp3,这一身冷色调的打扮从上到下都透着一股晦气。,231.1,235.96
26,18sn1-9.mp3,../18sn/1-280.mp3,怪不得回重生，都是这身衣服闹的。,236.62,239.59
27,18sn1-9.mp3,../18sn/1-290.mp3,胸前还抱着一个帆布挎包。,240.18,242.43
28,18sn1-9.mp3,../18sn/1-300.mp3,挎包里好像有什么重要的东西，因为自己的两只手臂抱得紧紧的。,242.79,248.13
29,18sn1-9.mp3,../18sn/1-310.mp3,万帆深吸一口气，这个情景也从脑海深处打着滚地跑了出来，更加坚定了他重生了这一事实。,249.18,258.73
30,18sn1-9.mp3,../18sn/1-320.mp3,如果不出意外，他的挎包里有一个硬纸壳封皮的很厚的农村生产队用来记账的大本子。,259.46,267.53
31,18sn1-9.mp3,../18sn/1-330.mp3,大本子里夹着七张四巨头的票子和四十多块钱的零钱。,267.95,272.87
32,18sn1-9.mp3,../18sn/1-340.mp3,这钱是他出门时母亲给的八百块钱。,273.47,276.47
33,18sn1-9.mp3,../18sn/1-350.mp3,他从家里出来坐客车到申阳，然后坐火车去首都。路费花去了五十块钱，还剩下七百四十一元。,276.77,285.98
34,18sn1-9.mp3,../18sn/1-360.mp3,除钱之外，大本子中还应该有一封介绍信和一个京城《当代文学》期刊社的通知书，外带自己的一代身份证。,286.77,297.03
35,18sn1-9.mp3,../18sn/1-370.mp3,再就不应该有其它的东西了。,297.59,299.69
36,18sn1-9.mp3,../18sn/1-380.mp3,万帆深吸一口气，用来平息自己紊乱的心跳，然后他掀开背包的盖子打开背包。,301.13,308.09
37,18sn1-9.mp3,../18sn/1-390.mp3,背包里有一个那种记账用的厚账本，一个牛皮纸的信封。,308.58,314.31
38,18sn1-9.mp3,../18sn/1-400.mp3,一切都和他的回忆吻合。,314.88,317.91
39,18sn1-9.mp3,../18sn/1-410.mp3,万帆拿出那个牛皮纸的信封。,318.87,321.21
40,18sn1-9.mp3,../18sn/1-420.mp3,信封上有几排字，这些字有的是印刷的有的是笔写的。,321.33,326.1
41,18sn1-9.mp3,../18sn/1-430.mp3,笔写的是收信人地址姓名，印刷的是信寄出所在地的地址。,326.62,333.22
42,18sn1-9.mp3,../18sn/1-440.mp3,信封里是一封打印的便签，只有收信人的名字是手写的：万帆同志，你的作品《海花》获得《当代文学》杂志社举办的文学征文大赛二等奖，请持此签七月三十日前到北晶市石景山招待所参加笔会并领奖，落款是《当代文学》编辑部。,334.44,360.52
43,18sn1-9.mp3,../18sn/1-450.mp3,下面还有到京城后到石景山招待所的乘车路线介绍。,361.41,366.36
44,18sn1-9.mp3,../18sn/1-460.mp3,这回终于可以确定他是千真万确地重生了，这一下子重生的不近，一下子撩到一九九一年。,367.02,377.16
45,18sn1-9.mp3,../18sn/1-470.mp3,这一年，他十八岁。,377.73,380.22
46,18sn1-9.mp3,../18sn/1-480.mp3,一九九一年三月，还是一个文学青年的万帆在渤海日报上发表一首小诗《海魂》。,381.38,389.57
47,18sn1-9.mp3,../18sn/1-490.mp3,发表处女作的欣喜还没随风散去，他就又收到了北晶一个叫《当代文学》刊物的征文大赛约稿。,390.05,398.6
48,18sn1-9.mp3,../18sn/1-500.mp3,都说趁热打铁才能成功，于是他就写了一篇散文《海花》邮寄去了，两个月过后音信皆无，就在他本人都快忘记这事儿的时候突然就收到了这个通知。,399.57,414.14
49,18sn1-9.mp3,../18sn/1-510.mp3,让他到京城去领奖。,414.32,417.29
50,18sn1-9.mp3,../18sn/1-520.mp3,这却是给他出了一股难题，原本他是不想去的，他的家庭并不富裕，父母在农村没有工作，只有三亩薄地和一个面积有一百五十平左右的小塑料大棚。,418.45,433.75
51,18sn1-9.mp3,../18sn/1-530.mp3,三亩地和这个塑料大棚一年能产出不到两千块钱的收入。,434.29,439.78
52,18sn1-9.mp3,../18sn/1-540.mp3,而他在工厂工作才五个月，刚刚出徒，一个月勉强二百元的收入，一年四千元就是他家一年的收入。,440.28,449.82
53,18sn1-9.mp3,../18sn/1-550.mp3,他哥哥在渤海工作，也才去了不到三年，下面还有一个还在初中的妹妹。,450.63,456.6
54,18sn1-9.mp3,../18sn/1-560.mp3,这种家庭条件让他犹豫该不该去京城。,457.7,461.21
55,18sn1-9.mp3,../18sn/1-570.mp3,这个通知上明确规定要带三百元的报名费，这三百报名费再加上来回路费以及在首都的吃住，没有七百块钱是绝对下不来的。,461.8,474.01
56,18sn1-9.mp3,../18sn/1-580.mp3,这几乎等于他半年的工资了。,474.56,476.9
57,18sn1-9.mp3,../18sn/1-590.mp3,正因为此他才没准备去参加这次笔会。,478.15,481.87
58,18sn1-9.mp3,../18sn/1-600.mp3,但是母亲在得知后坚决支持他去北晶，就算没有什么前途也趁这个机会到首都去看一看，否则这辈子都不知道还有没有机会去北晶。,482.38,494.44
59,18sn1-9.mp3,../18sn/1-610.mp3,在母亲的坚持下，他带着母亲给的八百块钱踏上了去北晶的旅途。,495.82,501.91
60,18sn1-9.mp3,../18sn/1-620.mp3,这就是上一世他十八岁那年去首都的前因后果。,503.06,507.8
61,18sn1-9.mp3,../18sn/1-630.mp3,现在造化弄人，他又回到了那个迷茫的年代。,508.58,512.45
62,18sn1-9.mp3,../18sn/1-640.mp3,想到这里万帆深吸了一口气，闭着眼睛开始回忆当年自己只身前往北晶的细节。,513.04,520.66
63,18sn1-9.mp3,../18sn/1-650.mp3,猛然回到二十多年前，这让万帆一点心理准备也没有。,521.38,526.18
64,18sn1-9.mp3,../18sn/1-660.mp3,这一刻他的大脑纷乱无比，不知道该如何是好。,526.79,530.63
65,18sn1-9.mp3,../18sn/1-670.mp3,列车在缓缓减速，北代河站到了，在这里将有大把到北代河度假观光的人下车。,531.86,541.18
66,18sn1-9.mp3,../18sn/1-680.mp3,万帆猛地反应过来，抱着挎包化身泥鳅拼命地挤进车厢。,541.74,546.93
67,18sn1-9.mp3,../18sn/1-690.mp3,待他挤进车厢的同时，列车也正好在站台上停靠。,547.38,552.93
68,18sn1-9.mp3,../18sn/1-700.mp3,手疾眼快的万帆在一个要在北代河的人下车的人刚一站立，就以迅雷不及掩耳盗铃之势钻到了他屁股后面坐了下来。,553.44,563.58
69,18sn1-9.mp3,../18sn/1-710.mp3,在屁股尘埃落定的那一刻，他长长地舒了一口气，总算不用站到京城了。,564.42,571.62
70,18sn1-9.mp3,../18sn/1-720.mp3,七八月正是旅游的季节，火车里的人比沙丁鱼罐头里的沙丁鱼的密度还大。,573.02,579.74
71,18sn1-9.mp3,../18sn/1-730.mp3,就算在北代河会有三分之一的人下车，但是火车上并没有空出多少座位，当年没有一点经验的万帆在这么多人下车后也没有抢到一个座位。,580.24,591.64
72,18sn1-9.mp3,../18sn/1-740.mp3,失败是成功它妈，万帆上一世已经见过一次成功它妈了，这次自然就不会再去想那个老太太。,592.18,601.54
73,18sn1-9.mp3,../18sn/1-750.mp3,汲取经验教训的后果就是他现在可以稳坐钓鱼台。,602.55,607.44
74,18sn1-9.mp3,../18sn/1-760.mp3,北代河离京城其实已经不算远了，但也还要坐四个小时左右的火车，这四个小时对已经拥有座位的万帆来说已经属于幸福的旅程了。,608.91,621.12
75,18sn1-9.mp3,../18sn/1-770.mp3,万帆舒服地坐在座位伸了一股懒腰，闭上眼睛。,621.98,626.33
76,18sn1-9.mp3,../18sn/1-780.mp3,他要整理一下情绪，来思考一下重生这个问题。,627.1,631.78
77,18sn1-9.mp3,../18sn/1-790.mp3,重生这个词应该诞生于网络小说，意思就是一个人一下子回到过去了。,632.72,639.41
78,18sn1-9.mp3,../18sn/1-800.mp3,这其实是很没道理的，就像下象棋的时候，小兵过河了你偏偏往回走，对面那位不和你吹胡子瞪眼才怪。,640.1,650.24
79,18sn1-9.mp3,../18sn/1-810.mp3,但是放到小说里就没什么合理不合理了，也没见时间发出个抗议什么的。,650.89,657.19
80,18sn1-9.mp3,../18sn/1-820.mp3,原本就是小说里YY的玩意儿，但想不到的是竟然真的在自己身上出现了，连个说理的地方都找不到。,658.1,666.17
81,18sn1-9.mp3,../18sn/1-830.mp3,万帆心里一阵唏嘘，不知道这是好事儿还是孬事儿，但是既然已经确定重生了，再说什么都没卵用了。,667.27,675.52
82,18sn1-9.mp3,../18sn/1-840.mp3,既然重生了，而且脑袋还没受到什么影响，那么就应该凭借大脑里保留的各种知识和见闻好好规划一下未来的路。,676.39,687.58
83,18sn1-9.mp3,../18sn/1-850.mp3,可惜，思绪刚准备干点正事儿，但是大脑却不愿意配合，还没想出点头绪就命令眼皮不争气地合上了。,688.35,697.86
84,18sn1-9.mp3,../18sn/1-860.mp3,这也不怪大脑，昨天从家里出来到现在他几乎就没合过眼，否则也不会站着就睡觉。,698.62,706.06
85,18sn1-9.mp3,../18sn/1-870.mp3,现在有了坐的地方，大脑自动地就发出了休息的命令。,707.22,711.09
86,18sn1-9.mp3,../18sn/1-880.mp3,他趴在面前的小桌上，进入了巫山云雨的梦幻里……,711.85,716.86
87,18sn1-9.mp3,../18sn/2-10.mp3,第二集,725.44,726.67
88,18sn1-9.mp3,../18sn/2-20.mp3,下午一点，火车进了京城。,729.41,732.26
89,18sn1-9.mp3,../18sn/2-30.mp3,睡眼朦胧的万帆打着哈欠下了火车，虽然在火车上睡的半梦半醒，但好歹精神上清爽了不少。,732.56,741.29
90,18sn1-9.mp3,../18sn/2-40.mp3,按照便签上的路线介绍，坐地铁一号线在石景山站下车。,741.98,748.01
91,18sn1-9.mp3,../18sn/2-50.mp3,出地铁站向东是一个叫玉渊潭的天然公园，中间一条人行步道，走了大约三四百米到公园尽头，也就看到了公园公园尽头处的石景山招待所。,748.93,762.79
92,18sn1-9.mp3,../18sn/2-60.mp3,这里就是《当代文学》用来召开笔会的场所，未来四五天万帆和来自全国各地的笔友就要在这里沆瀣一气。,763.35,774.1
93,18sn1-9.mp3,../18sn/2-70.mp3,九一年的石景山招待所是个地上四层地下一层的老式建筑，像个刚进城的老农般土了吧唧地立在这里。,775.63,786.01
94,18sn1-9.mp3,../18sn/2-80.mp3,万帆并没有直接进招待所，而是在路边的马路牙子上坐下。,786.94,792.28
95,18sn1-9.mp3,../18sn/2-90.mp3,见左右无人从挎包里取出钱，把其中的五百元折叠一下塞进左脚皮鞋的鞋垫下面，只留下了另外的二百元。,792.84,803.49
96,18sn1-9.mp3,../18sn/2-100.mp3,还跺了两下脚，在感觉到充实后才换上一脸颓废的表情走进了石景山招待所。,804.04,812.05
97,18sn1-9.mp3,../18sn/2-110.mp3,“小姐！我是到《当代文学》报道的。”,813.6,816.33
98,18sn1-9.mp3,../18sn/2-120.mp3,橱窗里的女人足有五十多岁，按照民间传统万帆应该称呼对方为大妈才是最正宗的叫法。,818.05,827.17
99,18sn1-9.mp3,../18sn/2-130.mp3,但是万帆依然叫人家小姐。,827.69,830.93
100,18sn1-9.mp3,../18sn/2-140.mp3,当年他就是根据年龄管人家叫大妈被对方好一顿的抢白，就差没动手揍他了，弄得他一头雾水。,831.97,840.49
101,18sn1-9.mp3,../18sn/2-150.mp3,过后有人告诉他在京城不管女方多大都要叫对方小姐。,841.2,848.34
102,18sn1-9.mp3,../18sn/2-160.mp3,当时似乎这称呼毫无违和感，但谁想到没过几年小姐的称呼就变了味道，就变成了另外一种意思。,849.23,860.36
103,18sn1-9.mp3,../18sn/2-170.mp3,虽然都是服务业的称呼，但是服务性质却南辕北辙。,860.81,866.57
104,18sn1-9.mp3,../18sn/2-180.mp3,就是不知道几年后当小姐的称呼变调的时候，京城的女人还会不会坚持让别人称呼她们为小姐？,867.56,876.41
105,18sn1-9.mp3,../18sn/2-190.mp3,那可就有乐子看了。,876.96,878.58
106,18sn1-9.mp3,../18sn/2-200.mp3,五十多岁的小姐头不抬眼不挣就说了两个字：“,880.02,884.85
107,18sn1-9.mp3,../18sn/2-220.mp3,这和万帆的记忆吻合，上一世这次笔会报到的地方就在二楼。,888.84,894.6
108,18sn1-9.mp3,../18sn/2-230.mp3,万帆来到二楼，在一个门口贴着《现代文学》编辑部笔会报道处的房间门口停下，经过短时间的酝酿，然后来到门口敲了敲敞开的门。,895.66,908.79
109,18sn1-9.mp3,../18sn/2-240.mp3,屋里有一男一女在端坐在办公桌的两端，此时都扭头看着门口这个一脸悲伤痛苦表情的青年。,909.52,920.32
110,18sn1-9.mp3,../18sn/2-250.mp3,那个男的大概有五十多岁，头发有点秃顶，万帆依稀记得他好像是叫童夏宇，是《当代文学》的一个编辑。,921.75,932.25
111,18sn1-9.mp3,../18sn/2-260.mp3,另一个女的是一个二十八岁的少妇，她是北辽省锦州人，大学毕业后就在京城安家落户，她的名字叫陈亚军。,932.98,944.77
112,18sn1-9.mp3,../18sn/2-270.mp3,这个万帆记得清清楚楚。,945.1,947.14
113,18sn1-9.mp3,../18sn/2-280.mp3,毕竟《当代文学》编辑部就这么一个女编辑，虽然模样只能算中等，但是身材相当不错。,947.5,956.56
114,18sn1-9.mp3,../18sn/2-290.mp3,而且此时她好像结婚的时间不长，身上洋溢着少妇那种半生不熟的韵味，唯一令人厌恶的就是那一脸的优越感了。,956.9,969.75
115,18sn1-9.mp3,../18sn/2-300.mp3,这是万帆能记得非常清楚的主要原因。,970.45,974.02
116,18sn1-9.mp3,../18sn/2-310.mp3,这次笔会为期一个星期，正式的笔会开始时间是七月三十一号到四号正式结束，五号就各自打道回府。,975.46,987.19
117,18sn1-9.mp3,../18sn/2-320.mp3,现代文学杂志社每人要收费三百元的报名费。,987.87,992.55
118,18sn1-9.mp3,../18sn/2-330.mp3,这三百元报名费不含学员的食宿和饭钱，只包含一次到八达岭十三陵旅游的车费和门票钱。,993.03,1003.17
119,18sn1-9.mp3,../18sn/2-340.mp3,在九一年三百元虽然不算多但也不算少，万帆在辽南一个小县城生产电动机的工厂工作，一个月的工资才二百元。,1004.3,1017.71
120,18sn1-9.mp3,../18sn/2-350.mp3,当年报道的时候有个南方的青年一到报道处就说自己在火车站被掏了包，因此他就没有交那三百元钱。,1018.26,1028.4
121,18sn1-9.mp3,../18sn/2-360.mp3,起初谁都以为他真的被掏了包，但是万帆却注意到这货不愁吃不愁喝，临分别的那天这货还请了包括万帆在内的几个人吃了一碗拉面。,1029.14,1043.06
122,18sn1-9.mp3,../18sn/2-370.mp3,因此万帆断定这货是撒了个弥天大谎。,1043.62,1048.54
123,18sn1-9.mp3,../18sn/2-380.mp3,现在的万帆直接就把那家伙的套路拿来用到了自己身上，为了显得真实，在进入这个报道办公室的时候还拿出了一脸痛不欲生的样子。,1049.43,1062.71
124,18sn1-9.mp3,../18sn/2-390.mp3,这可不是给首都抹黑，那时候北晶站到处都是毛贼，而且数量还相当的多。,1063.62,1071.54
125,18sn1-9.mp3,../18sn/2-400.mp3,不过万帆也没说钱被全部掏光了，而是把剩余的两张百元钞拿了出来。,1072.11,1079.97
126,18sn1-9.mp3,../18sn/2-410.mp3,“要不是这二百元在我书包里的这个大本子里夹着，估计我就得从北晶走回北辽省了。,1082.78,1089.28
127,18sn1-9.mp3,../18sn/2-420.mp3,”万帆在沉痛中诉说了这两百元能够幸免于难的原因。,1091.05,1093.86
128,18sn1-9.mp3,../18sn/2-430.mp3,那意思是如果你们连这二百元也要，那我就得走回去了。,1097.1,1108.39
129,18sn1-9.mp3,../18sn/2-440.mp3,这点钱别说交报名费，也就堪堪够他在北晶这七天里吃饭住店和回家的车票了。,1108.98,1117.95
130,18sn1-9.mp3,../18sn/2-450.mp3,那一男一女面面相觑了半天，最后说要往上面反映一下。,1119.06,1124.28
131,18sn1-9.mp3,../18sn/2-460.mp3,他们似乎没遇到过这种情况。,1124.7,1126.98
132,18sn1-9.mp3,../18sn/2-470.mp3,他们往上面怎么反映万帆就不管了，反正再反应他也是没钱。,1128.16,1134.1
133,18sn1-9.mp3,../18sn/2-480.mp3,现在该去开个房间好好休息一下了。,1134.52,1137.97
134,18sn1-9.mp3,../18sn/2-490.mp3,既然被掏包了住好房间就住不起了，总不能让编辑部的人说你都丢钱了还住好房间吧。,1138.76,1147.19
135,18sn1-9.mp3,../18sn/2-500.mp3,万帆开的是石景山招待所最便宜的地下室，四块钱一天。,1148.41,1154.98
136,18sn1-9.mp3,../18sn/2-510.mp3,他一次性地交了五天的房钱。,1155.49,1158.1
137,18sn1-9.mp3,../18sn/2-520.mp3,他知道在这里就能待五天，到了八月五号他就启程回去了。,1158.62,1164.11
138,18sn1-9.mp3,../18sn/2-530.mp3,地下室六张床，万帆是第一个来这儿的，因此占据了最里面靠墙角挨着气窗的床位。,1165.44,1173.81
139,18sn1-9.mp3,../18sn/2-540.mp3,气窗紧挨着棚顶，大概有十五公分宽和外面的路面平行，站在气窗下能看到外面走过人的腿。,1174.67,1184.27
140,18sn1-9.mp3,../18sn/2-550.mp3,万帆非常希望能有穿裙子的人经过，那样他就可以一饱眼福了。,1185.02,1191.47
141,18sn1-9.mp3,../18sn/2-560.mp3,这个想法有点阴暗且兼顾无耻。,1192.08,1195.68
142,18sn1-9.mp3,../18sn/2-570.mp3,可惜气窗可能离路远了点，别说穿裙子的就是穿裤子的也没看到一个。,1196.22,1204.08
143,18sn1-9.mp3,../18sn/2-580.mp3,这是当代文学本年度举办的第二次笔会，第一次笔会是在五一，据说全国各地有三百多人前来，他们赚了不少钱。,1205.98,1218.31
144,18sn1-9.mp3,../18sn/2-590.mp3,因此就又举办了第二次。,1218.84,1221.72
145,18sn1-9.mp3,../18sn/2-600.mp3,通俗点说他们就是利用文学青年对作品要获得名家的指点和得到发表机会的弱点举办的圈钱活动。,1222.3,1233.31
146,18sn1-9.mp3,../18sn/2-610.mp3,八九十年代文学青年如过江之鲫，到处都有想成为作家的热血青年。,1234.13,1240.97
147,18sn1-9.mp3,../18sn/2-620.mp3,现在在万帆的眼里看来这些文学青年就是一群身上长满羊毛的羊，当然自己也包括在内。,1241.84,1251.98
148,18sn1-9.mp3,../18sn/2-630.mp3,但你还不能说《当代文学》是骗子，这个《当代文学》和那本著名的《当代》没有一毛钱的关系，路归路桥归桥，风马牛不相及。,1252.4,1264.42
149,18sn1-9.mp3,../18sn/2-640.mp3,《当代文学》还是真的邀请了一些真作家的，也确实有一本可以公开发行的刊物，不过是不定期的刊物，一年刊发五期六期是它，三期两期也是它。,1265.03,1280.06
150,18sn1-9.mp3,../18sn/2-650.mp3,他们不是骗子却很不正规，所以万帆觉得骗一回他们也不为过。,1280.86,1287.71
151,18sn1-9.mp3,../18sn/2-660.mp3,他已经打定了主意，如果他们说不行，那他就准备在北晶自费玩两天然后就回家，把上一世来没去过的地方都去看看。,1288.46,1299.14
152,18sn1-9.mp3,../18sn/2-670.mp3,上次来他去过颐和园，去过八达岭还去过石景山游乐场，再就是去了一次大栅栏。,1299.72,1307.49
153,18sn1-9.mp3,../18sn/2-680.mp3,这一次他准备去北海公园和潘家园香山去看看，如果有可能他也准备去故宫玩玩。,1308.1,1316.95
154,18sn1-9.mp3,../18sn/2-690.mp3,到潘家园去他可不是为了去掏弄什么东西，他对古董一窍不通，就是有真品送到他鼻子底下他也是两眼一抹黑。,1317.87,1329.45
155,18sn1-9.mp3,../18sn/2-700.mp3,他也是就准备去看看热闹，看看大名鼎鼎的潘家园到底是什么样子。,1330.02,1335.81
156,18sn1-9.mp3,../18sn/2-710.mp3,万帆报道算是早的了，但不是最早的，已经有五六个人来报道了，但没一个是住地下室的，他们都住在一楼二楼，一楼二楼的房价是六元钱一天。,1336.76,1350.82
157,18sn1-9.mp3,../18sn/2-720.mp3,从下午到晚上八九点钟，不断有来报道的人。,1351.63,1356.22
158,18sn1-9.mp3,../18sn/2-730.mp3,这些人是真的来自五湖四海，最远的是南云省大理来的，人数将近一百人。,1356.61,1365.04
159,18sn1-9.mp3,../18sn/2-740.mp3,这一百多号人里，北方三省加内蒙的作者仅仅有四人，北辽两人，林吉一人内蒙一人。,1365.61,1375.44
160,18sn1-9.mp3,../18sn/2-750.mp3,北辽这两人里万帆是其中之一，另一个是来自营口一个据他自己说是开涂料实业的老板。,1376.53,1385.35
161,18sn1-9.mp3,../18sn/2-760.mp3,这话估计是放空炮。,1385.88,1388.25
162,18sn1-9.mp3,../18sn/2-770.mp3,因为这货上一世有一次几人在石景山游乐场一个饭店里AA制吃饭，这货让万帆给他垫了十五块钱，这货到临走也没吱一声。,1388.88,1401.02
163,18sn1-9.mp3,../18sn/2-780.mp3,万帆也没好意思就开口要，就这么吃了一个哑巴亏。,1401.67,1406.02
164,18sn1-9.mp3,../18sn/2-790.mp3,这一世这种事情是肯定不会发生的。,1406.92,1410.52
165,18sn1-9.mp3,../18sn/2-800.mp3,那个林吉的作者和万峰的年龄相仿，人长得又黑又瘦，他随身带来一个厚厚的本子，本子上是他写的一部大概有十多万字的长篇小说。,1411.55,1424.57
166,18sn1-9.mp3,../18sn/2-810.mp3,万帆还看了几眼，属于那种颓废流的作品，就和十年后那个叫木绒学村的网络写手写的《成都今夜请将我遗忘》风格一样，看了让人有去死的心思。,1425.12,1441.38
167,18sn1-9.mp3,../18sn/2-820.mp3,这种作品万帆认为除非是到网络上去，否则这辈子也别想出版。,1442.24,1448.51
168,18sn1-9.mp3,../18sn/2-830.mp3,不对！那个木绒学村貌似就是林吉的，这货该不会就是将来的木绒学村吧？貌似年龄也差不多。,1449.66,1461.28
169,18sn1-9.mp3,../18sn/2-840.mp3,这货一到北晶就东找人西找人的。,1462.1,1465.04
170,18sn1-9.mp3,../18sn/2-850.mp3,万帆把他归类为脑袋水分有点过多那一类的人，如果这货不是他一样住在同一间地下室，这一回他还真不准备和他有什么交集。,1465.1,1477.33
171,18sn1-9.mp3,../18sn/2-860.mp3,虽然上一世万帆和这些作者在一起待了近一个星期，但萍水相逢后真正在脑海里留下印象的不过三个两个而已。,1478.31,1490.04
172,18sn1-9.mp3,../18sn/2-870.mp3,其中一个叫张欣的女孩还是给他留下了比较深刻的印象。,1490.46,1496.13
173,18sn1-9.mp3,../18sn/3-10.mp3,第三集,1505.33,1506.68
174,18sn1-9.mp3,../18sn/3-20.mp3,张欣来自南湖省竹洲市，一个十八岁天真烂漫的女孩，是个写诗歌的。,1509.67,1518.01
175,18sn1-9.mp3,../18sn/3-30.mp3,万帆看过她一首发表在当地报纸上的和什么迦太基有关的诗歌。,1518.73,1526.17
176,18sn1-9.mp3,../18sn/3-40.mp3,当时万帆对她还是颇佩服的。,1526.76,1529.46
177,18sn1-9.mp3,../18sn/3-50.mp3,但如果换到现在怕是要出言嘲讽了，一个十七八岁的女孩，迦太基是个人还是个国家的名字估计她都分不清楚，这不是扯犊子吗。,1530.09,1542.54
178,18sn1-9.mp3,../18sn/3-60.mp3,她给万帆留下印象可能她是这一百多个到会的作者里为数不多的几位年轻女性。,1543.35,1551.75
179,18sn1-9.mp3,../18sn/3-70.mp3,这次来的一百多人里，女性作者大约有二十几位，其中年轻的不超过三位。,1552.69,1560.25
180,18sn1-9.mp3,../18sn/3-80.mp3,除张欣外另外两位年轻女性都是戴着眼镜，一副身上全是仙气不理凡尘的高傲模样。,1560.82,1569.61
181,18sn1-9.mp3,../18sn/3-90.mp3,其实根本用不着摆这个谱，能到这里来的人本身的处境都差不多。,1570.29,1577.31
182,18sn1-9.mp3,../18sn/3-100.mp3,说这些人是作家吧你还没达到那个阶段，充其量也就属于文学爱好者。,1577.7,1584.78
183,18sn1-9.mp3,../18sn/3-110.mp3,都在当地县级市级的报刊上发表过有数的几首作品，高级一点的可能在省一级报刊上发表过作品。,1585.14,1594.83
184,18sn1-9.mp3,../18sn/3-120.mp3,至于在全国性报刊上发表作品几乎凤毛麟角。,1595.22,1600.41
185,18sn1-9.mp3,../18sn/3-130.mp3,都在这一个档次混，万帆认为还是不要拿出谁比谁高一头的样子好。,1601.04,1607.07
186,18sn1-9.mp3,../18sn/3-140.mp3,俗话说文无第一、武无第二。,1607.46,1611.24
